�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
0.75,17289.92188,24264.18164,22440.06836,27659.61133,311993.3438,27605.08594,160145.7813,17964.05078,83775.88281,8312.118164
0.8,17195.74023,24244.35352,22449.98242,27679.4375,312013.1563,27605.08594,157429.4375,18137.53906,79161.07813,8333.996094
0.85,17185.82813,24293.92188,22415.2832,27738.91992,312018.125,27605.08594,168954.0781,18107.79883,83587.52344,8404.402344
0.9,17175.91406,24204.69922,22415.2832,27714.13477,312013.1563,27610.04297,167392.6719,18201.97852,82040.99219,8418.72168
0.95,17200.69727,24160.08789,22385.54297,27649.69727,311973.5,27610.04297,172156.1875,17681.50977,87374.54688,8413.75
1,17265.13672,24130.34766,22370.67188,27590.21484,311938.8125,27614.99805,179581.5156,17726.12109,84816.82031,8415.9375
1.05,17319.66211,24130.34766,22355.80078,27575.34375,311933.8438,27610.04297,184052.5781,17617.07227,78030.92188,8423.296875
1.1,17394.01367,24140.25977,22345.88867,27570.38672,311938.8125,27610.04297,186084.875,17582.37305,68355.1875,8425.484375
1.15,17433.66992,24145.2168,22340.93164,27614.99805,311943.75,27614.99805,188216.3125,17656.72656,60092.14844,8405.198242
1.2,17458.45313,24224.52734,22261.62109,27684.39453,311943.75,27614.99805,186426.9063,17750.90625,47338.22656,8403.805664
1.25,17493.15039,24224.52734,22241.79492,27684.39453,311948.7188,27614.99805,188736.7813,17641.85547,45672.73047,8348.913086
1.3,17587.33008,24274.0957,21815.50781,27699.26563,311948.7188,27614.99805,188766.5156,17572.46094,44374.03906,8261.402344
1.35,17602.20117,24318.70703,21874.98828,27644.74023,311948.7188,27614.99805,192880.6875,17265.13672,29602.6875,8367.40918
1.4,17706.29492,24348.44727,21899.77344,27634.82617,311948.7188,27614.99805,191081.3594,17641.85547,19178.47266,8388.09375
1.45,17760.82031,24437.66992,21919.60156,27605.08594,311943.75,27619.95508,193252.4531,17329.57617,14821.41895,8394.258789
1.5,17825.25781,24526.89258,21909.6875,27575.34375,311953.6875,27614.99805,188474.0625,17835.17188,9735.710938,8415.34082
1.55,17904.56836,24507.06641,21889.85938,27570.38672,311968.5313,27614.99805,191383.7344,17755.86328,11153.36523,8417.727539
1.6,17939.26563,24561.5918,21879.94531,27590.21484,311988.375,27619.95508,191696.0156,17587.33008,3633.852295,8419.915039
1.65,17909.52539,24512.02344,21899.77344,27610.04297,311988.375,27610.04297,189738.0625,17542.71875,1830.77771,8417.727539
1.7,17904.56836,24497.15234,21954.29883,27590.21484,311993.3438,27610.04297,189123.4219,17166,1566.655396,8398.038086
1.75,17815.3457,24502.10938,21914.64453,27600.12891,311988.375,27610.04297,192166.9063,17369.23047,1738.891724,8410.96582
1.8,17745.94922,24541.76367,21974.125,27590.21484,311983.4063,27610.04297,196281.0781,17379.14453,1702.097656,8406.192383
1.85,17631.94141,24521.9375,21929.51367,27560.47461,311973.5,27605.08594,199448.5,17394.01367,1312.875244,8415.739258
